Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;Lebih dari 2 jam;Arcade (Subway Surf, Temple Run, Pou);Ya;Normal;Normal;Banyak nya tugas kuliah dan kegiatan kampun dan luar kampus;Ya;Karena saya bermain bersama teman;Membantu;Normal;Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Tidak;Sangat Tinggi;Sering;tugas + sulit bagi waktu, ingpo joki ngoding:D;Tidak;tidak. Hal yg pertama akan kulakukan kalo stres adalah sambat di seken hehe, becanda. Game mungkin jadi salah satu pilihan buat ngurangi stres, tp bukan pertama, yang pertama itu hilink. Hiling ga bikin stres, kalo game kadang ttp bikin stres, colek sopi cocoki.;Membantu;Sering;Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;RPG (Genshin Impact, Call of Duty, Toram);Netral;Tinggi;Normal;sulitnya mengatur jadwal;Tidak;nonton film;Membantu;Normal;Setuju
20;Laki-laki;Mahasiswa;Tidak;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Tidak;Sangat Tinggi;Sangat sering;kehidupan pribadi;Tidak;refreshing ;Netral;Normal;Netral
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Tidak;Tinggi;Sering;Tugas, Kehidupan;Tidak;Tidur;Kurang membantu;Normal;Tidak Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Sangat Tinggi;Sangat sering;Tugas kuliah;Tidak;scroll tiktok zhay;Membantu;Jarang;Sangat setuju
20;Perempuan;Mahasiswa;Tidak;Beberapa kali seminggu;30 menit - 1 jam;Arcade (Subway Surf, Temple Run, Pou);Tidak;Tinggi;Normal;banyak tugas;Tidak;baca wattpat;Sangat membantu;Jarang;Setuju
20;Laki-laki;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;FPS (Valorant, CSGO, Point Blank);Netral;Tinggi;Normal;Mata kuliah;Ya;untuk menghilangkan jenuh;Membantu;Sering;Netral
24;Laki-laki;Umum / Sudah bekerja;Ya;Beberapa kali seminggu;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Tidak;Normal;Normal;Keuangan;Tidak;main catur;Kurang membantu;Normal;Tidak Setuju
21;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Sangat Tinggi;Sering;faktor eksternal ;Tidak;Memasak;Tidak membantu;Jarang;Netral
20;Perempuan;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Tinggi;Normal;Tugas kuliah, tanggung jawab program kerja(proker), panitia kegiatan;Tidak;-;Sangat membantu;Sering;Setuju
20;Perempuan;Mahasiswa;Ya;Beberapa kali seminggu;Kurang dari 30 menit;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Sangat Tinggi;Sering;perkuliahan;Tidak;menonton film;Netral;Normal;Netral
16;Laki-laki;Pelajar;Ya;Setiap hari;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Ya;Tinggi;Sering;Game;Tidak;Olahraga;Kurang membantu;Sangat sering;Tidak Setuju
21;Perempuan;Mahasiswa;Ya;Jarang;1-2 jam;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Sering;situasi baik dari perkuliahan maupun lingkungan sekitar;Tidak;makan;Netral;Normal;Setuju
20;Laki-laki;Mahasiswa;Ya;Setiap hari;1-2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Normal;Normal;kehidupan;Tidak;diem merenung;Membantu;Normal;Setuju
